building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.016444682213917, 6.3681568382767075, 30.966330331633575, 55.47538967849264
10009, 11.01028048638153, 5.80928699600336, 16.69765805608604, 74.93466680068349
10014, 14.76009423643455, 7.028290843423581, 38.297265935139755, 52.74831538445879
10019, 14.75219175313747, 7.020491283113654, 38.191880041912086, 52.886542354604735
10029, 10.622508188742058, 6.312460561811111, 18.25563221896085, 74.51301795448481
10031, 12.518720991183892, 6.276144595273962, 24.080075420557996, 66.33473764841057
10051, 13.290568693587785, 5.999000745442376, 25.97693550756574, 62.84890553841633
10053, 11.37361416432437, 6.260252023082292, 19.957686882933707, 72.38848730606487
10056, 14.22156228947154, 6.1794045077543185, 31.770664359612127, 57.05454021123968
10064, 12.728939932596807, 6.9651680687161415, 28.854589132358804, 62.675186492768844
10075, 15.17712319981736, 6.44334546715509, 39.29975267202544, 47.279392279833935
10079, 15.105831923572193, 7.310311159619338, 41.94066689251319, 49.388762522383004
10080, 15.788727905768031, 7.276695255676388, 46.42258819841091, 44.66988664752966
10082, 16.481817927787013, 6.706141219645528, 48.723152055379074, 40.47223934379593
10083, 15.642338056613623, 7.1206662339490965, 44.870436948965434, 45.874420061760624
10084, 15.103437404180209, 7.149927041471729, 40.92004216232495, 50.25146815238669
10085, 15.87201886727475, 7.191593636270213, 46.19291488551234, 44.711558809836205
10086, 14.401349605024498, 7.212646858776388, 37.29047849202513, 52.985983566940554
10087, 15.087660041744552, 7.268110485786864, 41.58125639989854, 49.843584131069925
10089, 14.005138326886952, 7.2688582943610704, 35.50778774954371, 56.30632760560983
10090, 14.292348986223814, 6.619899290262298, 36.6682123811732, 51.18710874101553
10093, 14.107592860724461, 6.564222123204923, 33.415299954503105, 56.39014667331066
10094, 14.206896747292303, 6.757094760236371, 35.406337218847476, 54.87878290373776
10097, 14.357997188117173, 6.864222068044872, 37.845159605718386, 51.274561002676414
10117, 15.467991377969012, 6.6825715532343, 44.13410625109789, 44.460337775101
10119, 14.089674182737749, 6.7517891686011495, 35.08520585130448, 54.69260543909918
10120, 15.282544148744204, 8.031762241511613, 46.168775716171105, 47.71627461636002
10124, 13.868766173423715, 7.032433169428599, 34.57151056426444, 56.046202963016114
10126, 13.397855825730051, 6.639343297836915, 29.671726085421813, 61.08012707377338
10128, 17.423025144146855, 6.721852205490469, 56.04351758259297, 34.869926052029584
10136, 15.429839044852377, 7.273167383733226, 44.34338141516802, 46.86940789148467
10144, 12.118610615454026, 6.126212822314991, 21.841893859516993, 68.8482201134709
10145, 10.662937533667057, 5.891477173010236, 16.59074372844896, 75.26177596406313
10150, 14.964157995600226, 7.494034563459177, 41.2050516477199, 50.724180776292116
10161, 13.451501800401758, 7.029405189124996, 31.821653456440195, 59.45789982857822
10165, 13.055518070277657, 6.732036807735771, 29.071604938271605, 62.0477366255144
10167, 13.234493289218918, 6.813348934796285, 30.197673255775193, 60.84369478982633
10168, 13.195184804172143, 6.8997928359809775, 30.327255804676984, 60.48332142204198
10174, 16.608824223136182, 6.956239704846374, 49.54587088609365, 41.2128288852686
10176, 16.682235707246793, 6.842845441858932, 49.90124349737113, 40.574317745569864
10177, 16.647659411756873, 6.776521034122291, 49.226928328558806, 40.82019223046237
10180, 16.511378580198098, 6.855087108890875, 48.287360564561034, 42.000487984935035
10182, 16.74044704736638, 6.321030209372604, 50.90032760611846, 37.492045534893585
10198, 14.435779970223235, 7.351694406789964, 38.675400291120816, 53.180494905385736
10199, 17.253195054824836, 6.982182018641441, 53.96834852365918, 37.61640952324219
10200, 12.835381860010694, 7.255169376733769, 30.705105474787075, 61.61895267851767
10201, 15.957313864236388, 7.278393980322715, 47.10770734886752, 44.60681114551084
10202, 13.552447075895182, 7.499319360085792, 34.06697549887004, 58.621123857619075
10203, 16.815222502594157, 6.616364782838372, 51.28312357283203, 38.8368912962668
10204, 14.768526939938512, 7.072991933398752, 39.064742465316534, 51.70294477223196
10205, 11.4600726099441, 6.662941260108375, 23.204572590987485, 69.34838367310839
10206, 10.134547802056339, 6.35960725889694, 17.561838635377374, 76.29936241946791
10207, 11.397741967512262, 6.6108159283419985, 22.66790323827189, 69.79121813343933
10208, 9.508046567592029, 5.541021122310352, 11.98892866813081, 82.24374981196787
1021, 16.768006388107487, 6.371960973564999, 48.87055947488474, 39.484701783428456
10215, 15.469298935998452, 7.149682802464685, 44.25972525885896, 46.58636194876449
10219, 14.159127426625064, 7.30042761398726, 37.30760536752769, 54.16640979799848
1022, 17.785342074809304, 6.216517953568088, 57.62111103894296, 31.784398689838827
1023, 18.990037406564106, 5.843677724238772, 65.29266204378875, 25.025639095622065
1024, 18.306329050620622, 5.930140475372776, 60.60673656033906, 28.844151981559968
10243, 16.61479838222724, 6.204487986259524, 49.0093146358226, 38.12274262652258
10244, 15.573482930619054, 6.621991499145782, 44.1185238180409, 43.49698920884755
10245, 16.66015816891075, 6.213591432937659, 49.22347603536529, 37.88389948813401
10247, 15.610816611731286, 6.6200149855589565, 44.66136237159144, 43.10617113119858
10249, 16.127140447483114, 6.23278261456254, 46.033884603725284, 40.42406278419617
1025, 17.539724459759974, 6.329623547295489, 56.10260229970672, 33.80103347143988
10251, 12.192920258958893, 7.5925702564566135, 29.21943923818178, 65.12087995304897
10252, 12.014475070529704, 7.602707949409604, 27.505075951270868, 67.00443675740712
10255, 11.94413329347133, 7.218452431197512, 25.821904506487382, 67.93393321187796
10257, 15.260237733857835, 7.285430011442128, 40.810593333992124, 51.13147084150938
